tie,x,y
1_1001,0,30081
1_1002,0,66363
1_1003,0,102645
1_1004,0,138927
1_1005,0,175209
1_1006,0,211491
1_1007,0,247773
1_1008,0,284055
1_1009,0,320337
1_1010,0,356619
1_1011,0,392901
1_1012,0,429183
1_1013,0,465465
1_1014,0,501747
1_1015,0,538029
1_1016,0,574311
1_1017,0,610593
1_1018,0,646875
1_1019,0,683157
1_1020,0,719439
1_1021,0,755721
1_1022,0,792003
1_1023,0,828285
1_1024,0,864567
1_1025,0,900849
1_1026,0,937131
1_1027,0,973413
1_1028,0,1009695
1_1029,0,1045977
1_1030,0,1082259
1_1031,0,1118541
1_1032,0,1154823
1_1033,0,1191105
1_1034,0,1227387
1_1035,0,1263669
1_1036,0,1299951
1_1037,0,1336233
1_1038,0,1372515
1_1039,0,1408797
1_1040,0,1445079
1_1041,0,1481361
1_1042,0,1517643
1_1043,0,1553925
1_1044,0,1590207
1_1045,0,1626489
1_1046,0,1662771
1_1047,0,1699053
1_1048,0,1735335
1_1049,0,1771617
1_1050,0,1807899
1_1051,0,1844181
1_1052,0,1880463
1_1053,0,1916745
1_1054,0,1953027
1_1055,0,1989309
1_1056,0,2025591
1_1057,0,2061873
1_1058,0,2098155
1_1059,0,2134437
1_1060,0,2170719
1_1061,0,2207001
1_1062,0,2243283
1_1063,0,2279565
1_1064,0,2315847
1_1065,0,2352129
1_1066,0,2388411
1_1067,0,2424693
1_1068,0,2460975
1_1069,0,2497257
1_1070,0,2533539
1_1071,0,2569821
1_1072,0,2606103
1_1073,0,2642385
1_1074,0,2678667
1_1075,0,2714949
1_1076,0,2751231
1_1077,0,2787513
1_1078,0,2823795
1_1101,33739,36282
1_1102,33739,72564
1_1103,33739,108846
1_1104,33739,145128
1_1105,33739,181410
1_1106,33739,217692
1_1107,33739,253974
1_1108,33739,290256
1_1109,33739,326538
1_1110,33739,362820
1_1111,33739,399102
1_1112,33739,435384
1_1113,33739,471666
1_1114,33739,507948
1_1115,33739,544230
1_1116,33739,580512
1_1117,33739,616794
1_1118,33739,653076
1_1119,33739,689358
1_1120,33739,725640
1_1121,33739,761922
1_1122,33739,798204
1_1123,33739,834486
1_1124,33739,870768
1_1125,33739,907050
1_1126,33739,943332
1_1127,33739,979614
1_1128,33739,1015896
1_1129,33739,1052178
1_1130,33739,1088460
1_1131,33739,1124742
1_1132,33739,1161024
1_1133,33739,1197306
1_1134,33739,1233588
1_1135,33739,1269870
1_1136,33739,1306152
1_1137,33739,1342434
1_1138,33739,1378716
1_1139,33739,1414998
1_1140,33739,1451280
1_1141,33739,1487562
1_1142,33739,1523844
1_1143,33739,1560126
1_1144,33739,1596408
1_1145,33739,1632690
1_1146,33739,1668972
1_1147,33739,1705254
1_1148,33739,1741536
1_1149,33739,1777818
1_1150,33739,1814100
1_1151,33739,1850382
1_1152,33739,1886664
1_1153,33739,1922946
1_1154,33739,1959228
1_1155,33739,1995510
1_1156,33739,2031792
1_1157,33739,2068074
1_1158,33739,2104356
1_1159,33739,2140638
1_1160,33739,2176920
1_1161,33739,2213202
1_1162,33739,2249484
1_1163,33739,2285766
1_1164,33739,2322048
1_1165,33739,2358330
1_1166,33739,2394612
1_1167,33739,2430894
1_1168,33739,2467176
1_1169,33739,2503458
1_1170,33739,2539740
1_1171,33739,2576022
1_1172,33739,2612304
